"Data","casual","registered","temperature_2m_max...C.","temperature_2m_min...C.","temperature_2m_mean...C.","apparent_temperature_max...C.","apparent_temperature_min...C.","apparent_temperature_mean...C.","daylight_duration..s.","sunshine_duration..s.","precipitation_sum..mm.","rain_sum..mm.","snowfall_sum..cm.","precipitation_hours..h.","wind_speed_10m_max..km.h.","wind_gusts_10m_max..km.h.","wind_direction_10m_dominant....","shortwave_radiation_sum..MJ.m..","et0_fao_evapotranspiration..mm.","Stosunki1","Stosunki2","Stosunki3","Stosunki4","Inne","Inne2","Inne3","Inne4"
"2013-01-01",421,1543,6.9,1.5,3.8,3.7,-2.3,0.4,34207.39,492.9,0,0,0,0,11.3,28.1,292,3.47,0.73,9.45205479452055,5.20547945205479,5.06849315068493,4.75342465753425,12.839,23.943,2.5331,17.47839
"2013-02-01",84,3077,0.2,-4.7,-1.9,-3.9,-10.8,-7.9,36924.17,29572.17,2.9,0,2.03,5,31.1,69.5,296,11.79,1.53,0.130718954248366,-1.24183006535948,-2.54901960784314,7.70588235294118,-45.981,2.358,18.0387,3.60774
"2013-03-01",329,4557,7,0.1,3.8,1.9,-3.7,-0.8,40851.66,26308.64,0,0,0,0,17.1,38.9,303,10.58,1.78,3.93258426966292,2.13483146067416,1.06741573033708,5.9438202247191,20.102,74.06,18.8324,131.8268
"2013-01-02",284,3389,2.7,-3.1,0.4,-1.2,-7,-4,34250.91,30479.74,0,0,0,0,14.8,36.4,336,9.82,1.18,2.28813559322034,0.338983050847458,-1.01694915254237,8.32203389830508,-11.784,26.514,11.5876,31.28652
"2013-02-02",233,2217,0.5,-7.4,-3.5,-4.8,-12.1,-8.6,37048.52,25749.66,0.3,0,0.28,2,15.8,32.8,227,10.97,1.41,0.354609929078014,-2.4822695035461,-3.40425531914894,7.78014184397163,-52.656,5.485,15.4677,7.73385
"2013-03-02",674,3033,3.7,-2,1.7,-1.2,-6.4,-3.1,41003.4,14903.68,0,0,0,0,14.7,32.4,311,9.42,1.64,2.25609756097561,1.03658536585366,-0.731707317073171,5.74390243902439,-11.304,34.854,15.4488,57.16056
"2013-01-03",297,3547,3.5,-3.4,-0.4,-0.7,-7.3,-4.3,34297.74,29260.52,0,0,0,0,9.8,22.3,266,8.42,0.93,3.76344086021505,-0.43010752688172,-0.752688172043011,9.05376344086021,-5.894,29.47,7.8306,27.4071
"2013-02-03",185,2370,2.9,-3.7,-0.9,-0.5,-7.8,-4.9,37175.07,20733.26,0,0,0.07,0,14.3,35.3,252,9.09,1.07,2.71028037383178,-0.841121495327103,-0.467289719626168,8.49532710280374,-4.545,26.361,9.7263,28.20627
"2013-03-03",475,2573,4.7,-1.9,1.2,-1.2,-6.8,-4.2,41155.37,33045.85,0,0,0,0,21.4,45,310,12.04,1.98,2.37373737373737,0.606060606060606,-0.606060606060606,6.08080808080808,-14.448,56.588,23.8392,112.04424
"2013-01-04",297,3781,5.9,-3.3,0.5,0.6,-7.5,-4.3,34347.81,30597.6,0,0,0,0,18.6,42.5,274,9.7,1.33,4.43609022556391,0.37593984962406,0.451127819548872,7.29323308270677,5.82,57.23,12.901,76.1159
"2013-02-04",122,3797,2.8,-4.1,-1,-1.9,-9.6,-6.1,37303.62,32881.71,0,0,0.07,0,18.3,41,274,10.8,1.55,1.80645161290323,-0.645161290322581,-1.2258064516129,6.96774193548387,-20.52,30.24,16.74,46.872
"2013-03-04",311,4101,6.4,-1.9,1.6,0.7,-7.7,-3.9,41307.45,38188.39,0,0,0,0,23.4,52.2,306,18.73,2.46,2.60162601626016,0.650406504065041,0.284552845528455,7.61382113821138,13.111,119.872,46.0758,294.88512
"2013-01-05",509,3007,6.2,-1,1.5,3,-5.2,-2.6,34401.04,30424.26,0,0,0,0,16.3,32,290,10.14,1.22,5.08196721311475,1.22950819672131,2.45901639344262,8.31147540983607,30.42,62.868,12.3708,76.69896
"2013-02-05",151,4427,7.3,-0.8,2,4.5,-4.3,-1.3,37434.05,21491.62,0,0,0.07,0,8.2,19.1,72,8.33,1.02,7.15686274509804,1.96078431372549,4.41176470588235,8.16666666666667,37.485,60.809,8.4966,62.02518
"2013-03-05",444,4737,9.8,-3.1,2.7,7.4,-7.5,-1.2,41459.54,37522.13,0,0,0,0,13.1,31.7,347,18.37,2.47,3.96761133603239,1.09311740890688,2.99595141700405,7.43724696356275,135.938,180.026,45.3739,444.66422
"2013-01-06",585,3166,10.2,-0.2,4.6,6.5,-3.4,1.2,34457.38,30705.14,0.1,0.1,0,1,12.3,24.8,229,9.81,1.28,7.96875,3.59375,5.078125,7.6640625,63.765,100.062,12.5568,128.07936
"2013-02-06",179,4692,6.7,-1.6,2,1.7,-5.5,-2,37566.16,33765.24,0,0,0,0,16.9,38.5,323,10.98,1.34,5,1.49253731343284,1.26865671641791,8.19402985074627,18.666,73.566,14.7132,98.57844
"2013-03-06",79,1046,3.1,1.1,2,-1.8,-4.5,-3.4,41611.51,0,29.3,10.8,12.95,22,33.3,76.7,28,2.6,0.37,8.37837837837838,5.40540540540541,-4.86486486486486,7.02702702702703,-4.68,8.06,0.962,2.9822
"2013-01-07",332,4409,7.8,-0.5,3.6,4,-4,-0.2,34516.75,30771.3,0,0,0,0,14.1,32.4,305,9.78,1.19,6.5546218487395,3.02521008403361,3.36134453781513,8.21848739495798,39.12,76.284,11.6382,90.77796
"2013-02-07",175,4263,4.1,-2.8,0.6,-0.2,-6.6,-3.3,37699.82,5402.63,0,0,0,0,13,27.7,83,7.38,0.97,4.22680412371134,0.618556701030928,-0.206185567010309,7.60824742268041,-1.476,30.258,7.1586,29.35026
"2013-03-07",315,4691,7.7,-0.5,3.4,3,-4.8,-1.3,41763.26,36667.4,0,0,0,0,22.3,48.2,333,17.51,2.07,3.71980676328502,1.64251207729469,1.44927536231884,8.45893719806763,52.53,134.827,36.2457,279.09189
