"GDF","ET","GDF_prev","DF_prev"
"-0.7003111959","-0.703420397","-0.7002856383","-0.6260669817"
"-0.7002875532","-0.703420397","-0.7003111979","-0.6259528036"
"-0.7002996940","-0.758244684","-0.7002875553","-0.6258135621"
"-0.7003067229","-0.758244684","-0.7002996961","-0.6257147006"
"-0.7002766904","-0.758244684","-0.7003067250","-0.6258664738"
"-0.7002926651","-0.758244684","-0.7002766924","-0.6258998918"
"-0.7002779683","-0.758244684","-0.7002926672","-0.6258441952"
"-0.6477592996","-0.758244684","-0.7002779704","-0.6258943221"
"-0.1453737274","-0.648596110","-0.6477593016","-0.5741869784"
" 0.4238394386","-0.484123248","-0.1453737289","-0.4162341668"
" 0.8640403256"," 0.009295337"," 0.4238394377","-0.3605932498"
" 1.1353558962"," 0.338241061"," 0.8640403250","-0.3232765186"
" 1.1931845799"," 0.612362497"," 1.1353558959","-0.2910281793"
" 1.0301779807"," 0.667186784"," 1.1931845797","-0.2779951717"
" 0.4630734849"," 0.557538210"," 1.0301779803","-0.2803205053"
" 0.1334180377"," 0.338241061"," 0.4630734839","-0.1693450025"
"-0.3070320557","-0.045528950"," 0.1334180365"," 1.1631964799"
"-0.6821076208","-0.538947535","-0.3070320574"," 0.4197580804"
"-0.7002964991","-0.648596110","-0.6821076228","-0.5861659276"
"-0.7002907482","-0.758244684","-0.7002965011","-0.6260572347"
"-0.7003048060","-0.758244684","-0.7002907502","-0.6260753361"
"-0.7002805243","-0.758244684","-0.7003048080","-0.6260878679"
"-0.7002690225","-0.758244684","-0.7002805264","-0.6259152084"
"-0.7002766904","-0.758244684","-0.7002690245","-0.6260600196"
"-0.7002556036","-0.758244684","-0.7002766924","-0.6257188778"
"-0.7002664665","-0.758244684","-0.7002556057","-0.6257341944"
"-0.7002645495","-0.758244684","-0.7002664686","-0.6256590040"
"-0.7002364339","-0.758244684","-0.7002645516","-0.6256938143"
"-0.7002530477","-0.758244684","-0.7002364360","-0.6257258399"
"-0.7003124738","-0.758244684","-0.7002530498","-0.6256478646"
"-0.7002383509","-0.758244684","-0.7003124759","-0.6257397640"
"-0.6604502995","-0.758244684","-0.7002383530","-0.6257578654"
"-0.2075411599","-0.703420397","-0.6604503015","-0.5691046624"
" 0.3670970395","-0.484123248","-0.2075411615","-0.3648958132"
" 0.8428258250","-0.045528950"," 0.3670970385","-0.2800280981"
" 1.1055789164"," 0.283416773"," 0.8428258244","-0.2814065893"
" 1.1551007175"," 0.502713922"," 1.1055789161","-0.2656722959"
