latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.606327,-5.32135,111.0,3600,Europe/London,BST

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C)
2017-01-01T00:00,10.9,88,9.0,8.1,0.00,0.00,1028.5,1014.9,10,11,0,0,0.01,0.16,17.9,28.1,100,100,36.7,11.8
2017-01-01T01:00,11.0,77,7.1,8.8,0.00,0.00,1028.7,1015.1,4,4,0,0,0.01,0.30,10.3,21.9,115,110,27.0,11.7
2017-01-01T02:00,10.7,79,7.3,8.7,0.00,0.00,1028.3,1014.7,23,20,0,17,0.01,0.27,9.1,19.8,124,115,25.6,11.5
2017-01-01T03:00,10.0,82,7.2,8.3,0.00,0.00,1027.9,1014.2,26,19,0,30,0.00,0.22,7.2,17.4,127,117,22.7,11.2
2017-01-01T04:00,9.7,83,7.0,8.0,0.00,0.00,1027.5,1013.8,16,11,0,21,0.00,0.20,6.6,16.4,131,119,18.7,10.8
2017-01-01T05:00,9.5,83,6.7,7.8,0.00,0.00,1027.0,1013.3,38,25,0,51,0.00,0.21,6.4,16.5,133,122,18.0,10.6
2017-01-01T06:00,9.3,82,6.5,7.6,0.00,0.00,1026.5,1012.8,16,8,0,31,0.00,0.21,6.1,16.2,140,122,17.3,10.4
2017-01-01T07:00,9.0,82,6.2,7.2,0.00,0.00,1026.3,1012.6,29,19,0,41,0.00,0.20,6.4,16.4,142,123,16.6,10.2
2017-01-01T08:00,8.6,83,6.0,6.7,0.00,0.00,1026.3,1012.6,27,18,0,35,0.00,0.19,6.2,16.7,144,127,16.6,9.8
2017-01-01T09:00,8.9,83,6.1,7.1,0.00,0.00,1026.3,1012.6,24,10,0,50,0.02,0.20,5.9,16.2,137,127,16.9,9.6
2017-01-01T10:00,11.2,77,7.4,9.4,0.00,0.00,1026.6,1013.0,8,2,0,20,0.05,0.30,8.2,15.6,119,116,20.2,10.3
2017-01-01T11:00,12.8,70,7.4,10.5,0.00,0.00,1026.7,1013.2,3,2,0,5,0.14,0.45,11.0,15.9,109,108,28.1,11.3
2017-01-01T12:00,13.5,66,7.3,11.1,0.00,0.00,1026.3,1012.8,4,2,0,8,0.20,0.53,12.0,16.6,106,108,31.0,12.3
2017-01-01T13:00,13.9,65,7.5,11.5,0.00,0.00,1025.6,1012.2,4,4,0,0,0.25,0.56,12.1,16.7,102,104,31.7,13.2
2017-01-01T14:00,14.1,64,7.4,11.7,0.00,0.00,1024.6,1011.2,0,0,0,0,0.26,0.58,12.0,16.0,99,99,31.7,13.8
2017-01-01T15:00,14.0,64,7.2,11.6,0.00,0.00,1023.6,1010.2,0,0,0,0,0.24,0.58,11.3,15.3,97,98,31.3,14.1
2017-01-01T16:00,13.7,64,7.1,11.4,0.00,0.00,1023.3,1009.9,0,0,0,0,0.20,0.56,10.8,14.8,94,96,29.2,14.2
2017-01-01T17:00,13.1,68,7.4,11.1,0.00,0.00,1023.2,1009.8,0,0,0,0,0.13,0.48,9.5,13.9,99,100,27.4,13.9
2017-01-01T18:00,11.2,77,7.3,9.8,0.00,0.00,1023.0,1009.5,0,0,0,0,0.04,0.31,5.4,13.0,110,109,22.7,13.2
2017-01-01T19:00,8.8,84,6.3,6.9,0.00,0.00,1023.0,1009.4,2,0,4,0,0.02,0.18,6.6,11.2,112,111,13.3,11.9
2017-01-01T20:00,8.1,85,5.8,6.0,0.00,0.00,1023.1,1009.4,0,0,0,0,0.00,0.16,7.1,10.2,120,113,13.3,11.0
2017-01-01T21:00,7.5,87,5.4,5.3,0.00,0.00,1023.1,1009.4,0,0,0,0,0.00,0.14,7.0,9.7,145,121,12.6,10.2
2017-01-01T22:00,7.1,87,5.1,4.9,0.00,0.00,1023.1,1009.4,7,0,0,23,0.00,0.13,6.8,10.1,148,117,13.0,9.6
2017-01-01T23:00,6.9,87,4.9,4.6,0.00,0.00,1022.6,1008.9,16,0,0,54,0.00,0.13,7.4,12.1,129,107,14.4,9.2
2017-01-02T00:00,7.3,85,5.0,5.1,0.00,0.00,1022.2,1008.5,0,0,0,0,0.00,0.15,6.9,11.2,133,105,14.8,8.8
2017-01-02T01:00,8.5,83,5.7,6.5,0.00,0.00,1021.6,1008.0,7,0,0,24,0.00,0.19,6.1,9.3,152,103,13.7,8.4
2017-01-02T02:00,7.2,86,5.0,5.2,0.00,0.00,1021.3,1007.6,29,0,0,98,0.00,0.14,5.2,8.4,155,100,11.5,8.2
2017-01-02T03:00,6.2,88,4.4,4.0,0.00,0.00,1021.1,1007.4,29,0,0,98,0.00,0.11,5.9,8.8,166,109,11.5,8.0
